Time,Level,Indicator,Valve,Pump
129,714,H,open,on
130,715,H,open,on
131,716,H,open,on
132,717,H,open,on
133,718,H,open,on
134,719,H,open,on
135,720,H,open,on
136,721,H,open,on
137,722,H,open,on
138,723,H,open,on
139,724,H,open,on
140,725,H,open,on
141,726,H,open,on
142,727,H,open,on
143,728,H,open,on
144,729,H,open,on
145,730,H,open,on
146,731,H,open,on
147,732,H,open,on
148,733,H,open,on
149,734,H,open,on
150,735,H,open,on
151,736,H,open,on
152,737,H,open,on
153,738,H,open,on
154,739,H,open,on
155,740,H,open,on
156,741,H,open,on
157,742,H,open,on
158,743,H,open,on
159,744,H,open,on
160,745,H,open,on
161,746,H,open,on
162,747,H,open,on
163,748,H,open,on
164,749,H,open,on
165,750,H,open,on
166,751,H,open,on
167,752,H,open,on
168,753,H,open,on
169,754,H,open,on
170,755,H,open,on
171,756,H,open,on
172,757,H,open,on
173,758,H,open,on
174,759,H,open,on
175,760,H,open,on
176,761,H,open,on
177,762,H,open,on
178,763,H,open,on
179,764,H,open,on
180,765,H,open,on
181,766,H,open,on
182,767,H,open,on
183,768,H,open,on
184,769,H,open,on
185,770,H,open,on
186,771,H,open,on
187,772,H,open,on
188,773,H,open,on
189,774,H,open,on
190,775,H,open,on
191,776,H,open,on
192,777,H,open,on
193,778,H,open,on
194,779,H,open,on
195,780,H,open,on
196,781,H,open,on
197,782,H,open,on
198,783,H,open,on
199,784,H,open,on
200,785,H,open,on
201,786,H,open,on
202,787,H,open,on
203,788,H,open,on
204,789,H,open,on
205,790,H,open,on
206,791,H,open,on
207,792,H,open,on
208,793,H,open,on
209,794,H,open,on
210,795,H,open,on
211,796,H,open,on
212,797,H,open,on
213,798,H,open,on
214,799,H,open,on
215,800,H,open,on
216,801,HH,transitioning,on
217,773,H,transitioning,on
218,745,H,transitioning,on
219,717,H,open,on
220,718,H,open,on
221,719,H,open,on
222,720,H,open,on
223,721,H,open,on
224,722,H,open,on
225,723,H,open,on
226,724,H,open,on
227,725,H,open,on
228,726,H,open,on
229,727,H,open,on
230,728,H,open,on
231,729,H,open,on
232,730,H,open,on
233,731,H,open,on
234,732,H,open,on
235,733,H,open,on
236,734,H,open,on
237,735,H,open,on
238,736,H,open,on
239,737,H,open,on
240,738,H,open,on
241,739,H,open,on
242,740,H,open,on
243,741,H,open,on
244,742,H,open,on
245,743,H,open,on
246,744,H,open,on
247,745,H,open,on
248,746,H,open,on
249,747,H,open,on
250,748,H,open,on
251,749,H,open,on
252,750,H,open,on
253,751,H,open,on
254,752,H,open,on
255,753,H,open,on
256,754,H,open,on
257,755,H,open,on
258,756,H,open,on
259,757,H,open,on
260,758,H,open,on
261,759,H,open,on
262,760,H,open,on
263,761,H,open,on
264,762,H,open,on
265,763,H,open,on
266,764,H,open,on
267,765,H,open,on
268,766,H,open,on
269,767,H,open,on
270,768,H,open,on
271,769,H,open,on
272,770,H,open,on
273,771,H,open,on
274,772,H,open,on
275,773,H,open,on
276,774,H,open,on
277,775,H,open,on
278,776,H,open,on
279,777,H,open,on
280,778,H,open,on
281,779,H,open,on
282,780,H,open,on
283,781,H,open,on
284,782,H,open,on
285,783,H,open,on
286,784,H,open,on
287,785,H,open,on
288,786,H,open,on
289,787,H,open,on
290,788,H,open,on
291,789,H,open,on
292,790,H,open,on
293,791,H,open,on
294,792,H,open,on
295,793,H,open,on
296,794,H,open,on
297,795,H,open,on
298,796,H,open,on
299,797,H,open,on
300,798,H,open,on
301,799,H,open,on
302,800,H,open,on
303,801,HH,transitioning,on
304,773,H,transitioning,on
305,745,H,transitioning,on
306,717,H,open,on
307,718,H,open,on
308,719,H,open,on
309,720,H,open,on
310,721,H,open,on
311,722,H,open,on
312,723,H,open,on
313,724,H,open,on
314,725,H,open,on
315,726,H,open,on
316,727,H,open,on
317,728,H,open,on
318,729,H,open,on
319,730,H,open,on
320,731,H,open,on
321,732,H,open,on
322,733,H,open,on
323,734,H,open,on
324,735,H,open,on
325,736,H,open,on
326,737,H,open,on
327,738,H,open,on
328,739,H,open,on
329,740,H,open,on
330,741,H,open,on
331,742,H,open,on
332,743,H,open,on
333,744,H,open,on
334,745,H,open,on
335,746,H,open,on
336,747,H,open,on
337,748,H,open,on
338,749,H,open,on
339,750,H,open,on
340,751,H,open,on
341,752,H,open,on
342,753,H,open,on
343,754,H,open,on
344,755,H,open,on
345,756,H,open,on
346,757,H,open,on
347,758,H,open,on
348,759,H,open,on
349,760,H,open,on
350,761,H,open,on
351,762,H,open,on
352,763,H,open,on
353,764,H,open,on
354,765,H,open,on
355,766,H,open,on
356,767,H,open,on
357,768,H,open,on
358,769,H,open,on
359,770,H,open,on
360,771,H,open,on
361,772,H,open,on
362,773,H,open,on
363,774,H,open,on
364,775,H,open,on
365,776,H,open,on
366,777,H,open,on
367,778,H,open,on
368,779,H,open,on
369,780,H,open,on
370,781,H,open,on
371,782,H,open,on
372,783,H,open,on
373,784,H,open,on
374,785,H,open,on
375,786,H,open,on
376,787,H,open,on
377,788,H,open,on
378,789,H,open,on
379,790,H,open,on
380,791,H,open,on
381,792,H,open,on
382,793,H,open,on
383,794,H,open,on
384,795,H,open,on
385,796,H,open,on
386,797,H,open,on
387,798,H,open,on
388,799,H,open,on
389,800,H,open,on
390,801,HH,transitioning,on
391,773,H,transitioning,on
392,745,H,transitioning,on
393,717,H,open,on
394,718,H,open,on
395,719,H,open,on
396,720,H,open,on
397,721,H,open,on
398,722,H,open,on
399,723,H,open,on
400,724,H,open,on
401,725,H,open,on
402,726,H,open,on
403,727,H,open,on
404,728,H,open,on
405,729,H,open,on
406,730,H,open,on
407,731,H,open,on
408,732,H,open,on
409,733,H,open,on
410,734,H,open,on
411,735,H,open,on
412,736,H,open,on
413,737,H,open,on
414,738,H,open,on
415,739,H,open,on
416,740,H,open,on
417,741,H,open,on
418,742,H,open,on
419,743,H,open,on
420,744,H,open,on
421,745,H,open,on
422,746,H,open,on
423,747,H,open,on
424,748,H,open,on
425,749,H,open,on
426,750,H,open,on
427,751,H,open,on
428,752,H,open,on
429,753,H,open,on
430,754,H,open,on
431,755,H,open,on
432,756,H,open,on
433,757,H,open,on
434,758,H,open,on
435,759,H,open,on
436,760,H,open,on
437,761,H,open,on
438,762,H,open,on
439,763,H,open,on
440,764,H,open,on
441,765,H,open,on
442,766,H,open,on
443,767,H,open,on
444,768,H,open,on
445,769,H,open,on
446,770,H,open,on
447,771,H,open,on
448,772,H,open,on
449,773,H,open,on
450,774,H,open,on
451,775,H,open,on
452,776,H,open,on
453,777,H,open,on
454,778,H,open,on
455,779,H,open,on
456,780,H,open,on
457,781,H,open,on
458,782,H,open,on
459,783,H,open,on
460,784,H,open,on
461,785,H,open,on
462,786,H,open,on
463,787,H,open,on
464,788,H,open,on
465,789,H,open,on
466,790,H,open,on
467,791,H,open,on
468,792,H,open,on
469,793,H,open,on
470,794,H,open,on
471,795,H,open,on
472,796,H,open,on
473,797,H,open,on
474,798,H,open,on
475,799,H,open,on
476,800,H,open,on
477,801,HH,transitioning,on
478,773,H,transitioning,on
479,745,H,transitioning,on
480,717,H,open,on
481,718,H,open,on
482,719,H,open,on
483,720,H,open,on
484,721,H,open,on
485,722,H,open,on
486,723,H,open,on
487,724,H,open,on
488,725,H,open,on
489,726,H,open,on
490,727,H,open,on
491,728,H,open,on
492,729,H,open,on
493,730,H,open,on
494,731,H,open,on
495,732,H,open,on
496,733,H,open,on
497,734,H,open,on
498,735,H,open,on
499,736,H,open,on
500,737,H,open,on
501,738,H,open,on
502,739,H,open,on
503,740,H,open,on
504,741,H,open,on
505,742,H,open,on
506,743,H,open,on
507,744,H,open,on
508,745,H,open,on
509,746,H,open,on
510,747,H,open,on
511,748,H,open,on
512,749,H,open,on
513,750,H,open,on
514,751,H,open,on
515,752,H,open,on
516,753,H,open,on
517,754,H,open,on
518,755,H,open,on
519,756,H,open,on
520,757,H,open,on
521,758,H,open,on
522,759,H,open,on
523,760,H,open,on
524,761,H,open,on
525,762,H,open,on
526,763,H,open,on
527,764,H,open,on
528,765,H,open,on
529,766,H,open,on
530,767,H,open,on
531,768,H,open,on
532,769,H,open,on
533,770,H,open,on
534,771,H,open,on
535,772,H,open,on
536,773,H,open,on
537,774,H,open,on
538,775,H,open,on
539,776,H,open,on
540,777,H,open,on
541,778,H,open,on
542,779,H,open,on
543,780,H,open,on
544,781,H,open,on
545,782,H,open,on
546,783,H,open,on
547,784,H,open,on
548,785,H,open,on
549,786,H,open,on
550,787,H,open,on
551,788,H,open,on
552,789,H,open,on
553,790,H,open,on
554,791,H,open,on
555,792,H,open,on
556,793,H,open,on
557,794,H,open,on
558,795,H,open,on
559,796,H,open,on
560,797,H,open,on
561,798,H,open,on
562,799,H,open,on
563,800,H,open,on
564,801,HH,transitioning,on
565,773,H,transitioning,on
566,745,H,transitioning,on
567,717,H,open,on
568,718,H,open,on
569,719,H,open,on
570,720,H,open,on
571,721,H,open,on
572,722,H,open,on
573,723,H,open,on
574,724,H,open,on
575,725,H,open,on
576,726,H,open,on
577,727,H,open,on
578,728,H,open,on
579,729,H,open,on
580,730,H,open,on
581,731,H,open,on
582,732,H,open,on
583,733,H,open,on
584,734,H,open,on
585,735,H,open,on
586,736,H,open,on
587,737,H,open,on
588,738,H,open,on
589,739,H,open,on
590,740,H,open,on
591,741,H,open,on
592,742,H,open,on
593,743,H,open,on
594,744,H,open,on
595,745,H,open,on
596,746,H,open,on
597,747,H,open,on
598,748,H,open,on
599,749,H,open,on
600,750,H,open,on
601,751,H,open,on
602,752,H,open,on
603,753,H,open,on
604,754,H,open,on
605,755,H,open,on
606,756,H,open,on
607,757,H,open,on
608,758,H,open,on
609,759,H,open,on
610,760,H,open,on
611,761,H,open,on
612,762,H,open,on
613,763,H,open,on
614,764,H,open,on
615,765,H,open,on
616,766,H,open,on
617,767,H,open,on
618,768,H,open,on
619,769,H,open,on
620,770,H,open,on
621,771,H,open,on
622,772,H,open,on
623,773,H,open,on
624,774,H,open,on
625,775,H,open,on
626,776,H,open,on
627,777,H,open,on
628,778,H,open,on
629,779,H,open,on
630,780,H,open,on
631,781,H,open,on
632,782,H,open,on
633,783,H,open,on
634,784,H,open,on
635,785,H,open,on
636,786,H,open,on
637,787,H,open,on
638,788,H,open,on
639,789,H,open,on
640,790,H,open,on
641,791,H,open,on
642,792,H,open,on
643,793,H,open,on
644,794,H,open,on
645,795,H,open,on
646,796,H,open,on
647,797,H,open,on
648,798,H,open,on
649,799,H,open,on
650,800,H,open,on
651,801,HH,transitioning,on
652,773,H,transitioning,on
653,745,H,transitioning,on
654,717,H,open,on
655,718,H,open,on
656,719,H,open,on
657,720,H,open,on
658,721,H,open,on
659,722,H,open,on
660,723,H,open,on
661,724,H,open,on
662,725,H,open,on
663,726,H,open,on
664,727,H,open,on
665,728,H,open,on
666,729,H,open,on
667,730,H,open,on
668,731,H,open,on
669,732,H,open,on
670,733,H,open,on
671,734,H,open,on
672,735,H,open,on
673,736,H,open,on
674,737,H,open,on
675,738,H,open,on
676,739,H,open,on
677,740,H,open,on
678,741,H,open,on
679,742,H,open,on
680,743,H,open,on
681,744,H,open,on
682,745,H,open,on
683,746,H,open,on
684,747,H,open,on
685,748,H,open,on
686,749,H,open,on
687,750,H,open,on
688,751,H,open,on
689,752,H,open,on
690,753,H,open,on
691,754,H,open,on
692,755,H,open,on
693,756,H,open,on
694,757,H,open,on
695,758,H,open,on
696,759,H,open,on
697,760,H,open,on
698,761,H,open,on
699,762,H,open,on
700,763,H,open,on
701,764,H,open,on
702,765,H,open,on
703,766,H,open,on
704,767,H,open,on
705,768,H,open,on
706,769,H,open,on
707,770,H,open,on
708,771,H,open,on
709,772,H,open,on
710,773,H,open,on
711,774,H,open,on
712,775,H,open,on
713,776,H,open,on
714,777,H,open,on
715,778,H,open,on
716,779,H,open,on
717,780,H,open,on
718,781,H,open,on
719,782,H,open,on
720,783,H,open,on
721,784,H,open,on
722,785,H,open,on
723,786,H,open,on
724,787,H,open,on
725,788,H,open,on
726,789,H,open,on
727,790,H,open,on
728,791,H,open,on
729,792,H,open,on
730,793,H,open,on
731,794,H,open,on
732,795,H,open,on
733,796,H,open,on
734,797,H,open,on
735,798,H,open,on
736,799,H,open,on
737,800,H,open,on
738,801,HH,transitioning,on
739,773,H,transitioning,on
740,745,H,transitioning,on
741,717,H,open,on
742,718,H,open,on
743,719,H,open,on
744,720,H,open,on
745,721,H,open,on
746,722,H,open,on
747,723,H,open,on
748,724,H,open,on
749,725,H,open,on
750,726,H,open,on
751,727,H,open,on
752,728,H,open,on
753,729,H,open,on
754,730,H,open,on
755,731,H,open,on
756,732,H,open,on
757,733,H,open,on
758,734,H,open,on
759,735,H,open,on
760,736,H,open,on
761,737,H,open,on
762,738,H,open,on
763,739,H,open,on
764,740,H,open,on
765,741,H,open,on
766,742,H,open,on
767,743,H,open,on
768,744,H,open,on
769,745,H,open,on
770,746,H,open,on
771,747,H,open,on
772,748,H,open,on
773,749,H,open,on
774,750,H,open,on
775,751,H,open,on
776,752,H,open,on
777,753,H,open,on
778,754,H,open,on
779,755,H,open,on
780,756,H,open,on
781,757,H,open,on
782,758,H,open,on
783,759,H,open,on
784,760,H,open,on
785,761,H,open,on
786,762,H,open,on
787,763,H,open,on
788,764,H,open,on
789,765,H,open,on
790,766,H,open,on
791,767,H,open,on
792,768,H,open,on
793,769,H,open,on
794,770,H,open,on
795,771,H,open,on
796,772,H,open,on
797,773,H,open,on
798,774,H,open,on
799,775,H,open,on
800,776,H,open,on
801,777,H,open,on
802,778,H,open,on
803,779,H,open,on
804,780,H,open,on
805,781,H,open,on
806,782,H,open,on
807,783,H,open,on
808,784,H,open,on
809,785,H,open,on
810,786,H,open,on
811,787,H,open,on
812,788,H,open,on
813,789,H,open,on
814,790,H,open,on
815,791,H,open,on
816,792,H,open,on
817,793,H,open,on
818,794,H,open,on
819,795,H,open,on
820,796,H,open,on
821,797,H,open,on
822,798,H,open,on
823,799,H,open,on
824,800,H,open,on
825,801,HH,transitioning,on
826,773,H,transitioning,on
827,745,H,transitioning,on
828,717,H,open,on
829,718,H,open,on
830,719,H,open,on
831,720,H,open,on
832,721,H,open,on
833,722,H,open,on
834,723,H,open,on
835,724,H,open,on
836,725,H,open,on
837,726,H,open,on
838,727,H,open,on
839,728,H,open,on
840,729,H,open,on
841,730,H,open,on
842,731,H,open,on
843,732,H,open,on
844,733,H,open,on
845,734,H,open,on
846,735,H,open,on
847,736,H,open,on
848,737,H,open,on
849,738,H,open,on
850,739,H,open,on
851,740,H,open,on
852,741,H,open,on
853,742,H,open,on
854,743,H,open,on
855,744,H,open,on
856,745,H,open,on
857,746,H,open,on
858,747,H,open,on
859,748,H,open,on
860,749,H,open,on
861,750,H,open,on
862,751,H,open,on
863,752,H,open,on
864,753,H,open,on
865,754,H,open,on
866,755,H,open,on
867,756,H,open,on
868,757,H,open,on
869,758,H,open,on
870,759,H,open,on
871,760,H,open,on
872,761,H,open,on
873,762,H,open,on
874,763,H,open,on
875,764,H,open,on
876,765,H,open,on
877,766,H,open,on
878,767,H,open,on
879,768,H,open,on
880,769,H,open,on
881,770,H,open,on
882,771,H,open,on
883,772,H,open,on
884,773,H,open,on
885,774,H,open,on
886,775,H,open,on
887,776,H,open,on
888,777,H,open,on
889,778,H,open,on
890,779,H,open,on
891,780,H,open,on
892,781,H,open,on
893,782,H,open,on
894,783,H,open,on
895,784,H,open,on
896,785,H,open,on
897,786,H,open,on
898,787,H,open,on
899,788,H,open,on
900,789,H,open,on
901,790,H,open,on
902,791,H,open,on
903,792,H,open,on
904,793,H,open,on
905,794,H,open,on
906,795,H,open,on
907,796,H,open,on
908,797,H,open,on
909,798,H,open,on
910,799,H,open,on
911,800,H,open,on
912,801,HH,transitioning,on
913,773,H,transitioning,on
914,745,H,transitioning,on
915,717,H,open,on
916,718,H,open,on
917,719,H,open,on
918,720,H,open,on
919,721,H,open,on
920,722,H,open,on
921,723,H,open,on
922,724,H,open,on
923,725,H,open,on
924,726,H,open,on
925,727,H,open,on
926,728,H,open,on
927,729,H,open,on
928,730,H,open,on
929,731,H,open,on
930,732,H,open,on
931,733,H,open,on
932,734,H,open,on
933,735,H,open,on
934,736,H,open,on
935,737,H,open,on
936,738,H,open,on
937,739,H,open,on
938,740,H,open,on
939,741,H,open,on
940,742,H,open,on
941,743,H,open,on
942,744,H,open,on
943,745,H,open,on
944,746,H,open,on
945,747,H,open,on
946,748,H,open,on
947,749,H,open,on
948,750,H,open,on
949,751,H,open,on
950,752,H,open,on
951,753,H,open,on
952,754,H,open,on
953,755,H,open,on
954,756,H,open,on
955,757,H,open,on
956,758,H,open,on
957,759,H,open,on
958,760,H,open,on
959,761,H,open,on
960,762,H,open,on
961,763,H,open,on
962,764,H,open,on
963,765,H,open,on
964,766,H,open,on
965,767,H,open,on
966,768,H,open,on
967,769,H,open,on
968,770,H,open,on
969,771,H,open,on
970,772,H,open,on
971,773,H,open,on
972,774,H,open,on
973,775,H,open,on
974,776,H,open,on
975,777,H,open,on
976,778,H,open,on
977,779,H,open,on
978,780,H,open,on
979,781,H,open,on
980,782,H,open,on
981,783,H,open,on
982,784,H,open,on
983,785,H,open,on
984,786,H,open,on
985,787,H,open,on
986,788,H,open,on
987,789,H,open,on
988,790,H,open,on
989,791,H,open,on
990,792,H,open,on
991,793,H,open,on
992,794,H,open,on
993,795,H,open,on
994,796,H,open,on
995,797,H,open,on
996,798,H,open,on
997,799,H,open,on
998,800,H,open,on
999,801,HH,transitioning,on
